"Begge";"Alle";"Uke 1";886;977;895;1004;781;937;870;1006;938;872;862;829
"Begge";"Alle";"Uke 2";878;909;824;884;805;977;864;1048;872;828;951;869
"Begge";"Alle";"Uke 3";807;852;881;909;830;913;939;928;945;811;837;860
"Begge";"Alle";"Uke 4";772;859;821;921;809;930;937;866;857;835;862;852
"Begge";"Alle";"Uke 5";842;833;863;909;836;911;881;914;881;889;815;791
"Begge";"Alle";"Uke 6";863;816;937;893;817;898;852;823;904;843;796;818
"Begge";"Alle";"Uke 7";873;826;919;867;817;866;826;845;928;914;855;767
"Begge";"Alle";"Uke 8";915;839;898;903;801;931;764;898;917;828;813;756
"Begge";"Alle";"Uke 9";841;791;883;871;810;925;873;863;907;821;836;704
"Begge";"Alle";"Uke 10";831;857;860;826;789;976;762;822;950;833;799;792
"Begge";"Alle";"Uke 11";787;750;865;857;812;836;798;804;867;836;826;789
"Begge";"Alle";"Uke 12";839;800;818;839;795;785;802;788;905;805;809;771
"Begge";"Alle";"Uke 13";813;791;848;828;757;795;759;756;807;791;854;717
"Begge";"Alle";"Uke 14";792;838;861;813;836;786;802;809;820;782;831;777
"Begge";"Alle";"Uke 15";795;829;831;821;753;795;773;776;827;757;840;749
"Begge";"Alle";"Uke 16";746;790;833;780;858;777;756;758;778;761;816;750
"Begge";"Alle";"Uke 17";757;817;814;869;732;749;755;816;781;800;777;777
"Begge";"Alle";"Uke 18";760;745;815;757;755;686;748;745;756;775;749;693
"Begge";"Alle";"Uke 19";785;760;754;733;772;729;711;733;738;772;741;705
"Begge";"Alle";"Uke 20";777;707;766;782;805;707;776;694;714;732;685;739
"Begge";"Alle";"Uke 21";710;802;763;727;792;780;713;735;692;741;740;731
"Begge";"Alle";"Uke 22";775;724;725;705;674;716;679;688;757;730;662;725
"Begge";"Alle";"Uke 23";710;745;790;682;746;758;669;724;714;707;677;728
"Begge";"Alle";"Uke 24";722;752;732;700;690;746;729;732;671;737;730;688
"Begge";"Alle";"Uke 25";710;726;737;716;705;712;725;757;703;724;739;697
"Begge";"Alle";"Uke 26";757;765;782;696;715;752;678;733;741;767;684;719
"Begge";"Alle";"Uke 27";737;694;735;752;753;721;756;756;776;736;697;771
"Begge";"Alle";"Uke 28";730;738;740;760;773;693;734;694;737;735;668;715
"Begge";"Alle";"Uke 29";734;848;730;706;734;722;685;749;721;742;754;757
"Begge";"Alle";"Uke 30";740;747;740;682;784;669;721;728;773;721;729;743
"Begge";"Alle";"Uke 31";712;734;702;734;739;663;709;691;679;729;746;765
"Begge";"Alle";"Uke 32";772;759;749;765;721;700;740;742;705;706;738;776
"Begge";"Alle";"Uke 33";754;814;745;743;778;698;717;704;694;734;734;783
"Begge";"Alle";"Uke 34";724;734;721;714;685;732;684;739;754;678;745;781
"Begge";"Alle";"Uke 35";740;764;698;734;752;720;723;730;715;779;699;785
"Begge";"Alle";"Uke 36";758;738;757;741;744;745;759;708;694;714;710;782
"Begge";"Alle";"Uke 37";767;742;800;755;737;712;714;704;706;708;785;817
"Begge";"Alle";"Uke 38";754;806;761;746;697;750;681;697;722;756;773;810
"Begge";"Alle";"Uke 39";786;773;751;757;747;709;740;713;712;820;743;788
"Begge";"Alle";"Uke 40";858;797;732;715;751;766;741;733;702;711;783;799
